,latlon,count,lon,lat
311,"('-89.090833', '41.341111')",1,-89.090833,41.341111
312,"('-122.9305556', '43.9661111')",1,-122.9305556,43.9661111
313,"('-87.9005556', '41.8097222')",4,-87.9005556,41.8097222
314,"('-73.3738889', '40.6866667')",12,-73.3738889,40.6866667
315,"('-115.800413', '37.252526')",3,-115.800413,37.252526
316,"('-103.5097222', '38.1069444')",1,-103.5097222,38.1069444
317,"('-73.3261111', '40.6955556')",11,-73.3261111,40.6955556
318,"('-123.4066667', '47.2380556')",2,-123.4066667,47.2380556
319,"('-90.8233333', '36.6208333')",4,-90.8233333,36.6208333
320,"('-88.7469444', '37.3908333')",1,-88.7469444,37.3908333
321,"('-120.7730556', '38.3488889')",2,-120.7730556,38.3488889
322,"('-104.831691', '39.639999')",1,-104.831691,39.639999
323,"('-92.8897222', '45.3736111')",1,-92.8897222,45.3736111
324,"('-89.876992', '35.214802')",1,-89.876992,35.214802
325,"('-121.2308333', '40.3063889')",4,-121.2308333,40.3063889
326,"('-73.5822222', '43.1')",1,-73.5822222,43.1
327,"('-70.255', '45.6238889')",1,-70.255,45.6238889
328,"('-122.515', '37.5422222')",1,-122.515,37.5422222
329,"('-110.926479', '32.221743')",1,-110.926479,32.221743
330,"('-90.9180556', '38.9477778')",1,-90.9180556,38.9477778
331,"('-71.1727778', '43.4366667')",4,-71.1727778,43.4366667
332,"('-88.9644444', '40.1536111')",2,-88.9644444,40.1536111
333,"('-88.1733333', '41.8177778')",3,-88.1733333,41.8177778
334,"('-122.2738889', '46.5586111')",3,-122.2738889,46.5586111
335,"('-73.0519444', '41.5580556')",26,-73.0519444,41.5580556
336,"('-81.3461111', '41.2391667')",5,-81.3461111,41.2391667
337,"('-89.2902778', '31.3269444')",12,-89.2902778,31.3269444
338,"('-82.2969444', '28.7497222')",3,-82.2969444,28.7497222
339,"('-74.4405556', '40.3525')",1,-74.4405556,40.3525
340,"('-119.34', '35.5941667')",2,-119.34,35.5941667
341,"('-96.9766667', '30.8530556')",2,-96.9766667,30.8530556
342,"('-99.9469444', '31.7380556')",4,-99.9469444,31.7380556
343,"('-158.1547222', '21.3905556')",1,-158.1547222,21.3905556
344,"('-116.1888889', '32.6175')",1,-116.1888889,32.6175
345,"('-77.187204', '38.78928')",1,-77.187204,38.78928
346,"('-90.3072222', '34.9133333')",1,-90.3072222,34.9133333
347,"('-110.9544444', '42.0825')",1,-110.9544444,42.0825
348,"('-85.2825', '44.8344444')",3,-85.2825,44.8344444
349,"('-82.5994444', '39.7136111')",15,-82.5994444,39.7136111
350,"('-71.5152778', '42.0027778')",8,-71.5152778,42.0027778
351,"('-74.9430556', '39.9669444')",2,-74.9430556,39.9669444
352,"('-76.7241667', '41.2411111')",1,-76.7241667,41.2411111
353,"('-89.897323', '38.561438')",1,-89.897323,38.561438
354,"('-116.354014', '43.695442')",1,-116.354014,43.695442
355,"('-87.8075', '41.9672222')",1,-87.8075,41.9672222
356,"('-87.4236111', '41.5283333')",4,-87.4236111,41.5283333
357,"('-88.885308', '30.396032')",1,-88.885308,30.396032
358,"('-77.6644444', '39.3269444')",3,-77.6644444,39.3269444
359,"('-85.7525', '41.4277778')",4,-85.7525,41.4277778
360,"('-72.4869444', '42.7861111')",2,-72.4869444,42.7861111
361,"('-80.8938889', '27.13')",3,-80.8938889,27.13
362,"('-86.5772222', '36.7222222')",3,-86.5772222,36.7222222
363,"('-82.5108333', '40.62')",1,-82.5108333,40.62
364,"('-71.708863', '41.38127')",1,-71.708863,41.38127
365,"('-73.2458333', '42.45')",11,-73.2458333,42.45
366,"('-88.0577778', '41.5894444')",12,-88.0577778,41.5894444
367,"('-86.1905556', '36.7533333')",7,-86.1905556,36.7533333
368,"('-96.5769444', '33.4213889')",6,-96.5769444,33.4213889
369,"('-76.0855556', '36.2730556')",2,-76.0855556,36.2730556
370,"('-73.035662', '40.866487')",2,-73.035662,40.866487
371,"('-88.0797222', '41.9847222')",3,-88.0797222,41.9847222
372,"('-82.8591667', '40.2425')",3,-82.8591667,40.2425
373,"('-80.449774', '27.858635')",1,-80.449774,27.858635
374,"('-115.1636111', '37.365')",1,-115.1636111,37.365
375,"('-85.9419444', '43.4675')",3,-85.9419444,43.4675
376,"('-85.6280556', '41.0847222')",1,-85.6280556,41.0847222
377,"('-79.852972', '37.289655')",1,-79.852972,37.289655
378,"('-84.0641667', '42.0166667')",1,-84.0641667,42.0166667
379,"('-75.7388889', '41.3438889')",2,-75.7388889,41.3438889
380,"('-74.8238889', '39.9008333')",3,-74.8238889,39.9008333
381,"('-82.0108333', '40.1213889')",1,-82.0108333,40.1213889
382,"('-96.1080556', '30.9175')",1,-96.1080556,30.9175
383,"('-106.188079', '35.249764')",1,-106.188079,35.249764
384,"('-94.3772222', '42.0152778')",1,-94.3772222,42.0152778
385,"('-73.3925', '44.3572222')",1,-73.3925,44.3572222
386,"('-96.3561111', '42.1130556')",1,-96.3561111,42.1130556
387,"('-83.187406', '42.659637')",1,-83.187406,42.659637
388,"('-81.0986111', '37.7055556')",2,-81.0986111,37.7055556
389,"('-73.9977778', '41.9269444')",18,-73.9977778,41.9269444
390,"('-94.7686111', '30.4525')",1,-94.7686111,30.4525
391,"('-85.4533333', '40.77')",2,-85.4533333,40.77
392,"('-79.8191667', '37.7527778')",1,-79.8191667,37.7527778
393,"('-81.0230556', '29.2105556')",31,-81.0230556,29.2105556
394,"('-93.8361111', '32.3330556')",2,-93.8361111,32.3330556
395,"('-79.9744444', '40.1561111')",1,-79.9744444,40.1561111
396,"('-68.2633333', '45.6283333')",2,-68.2633333,45.6283333
397,"('-97.3794444', '31.8591667')",1,-97.3794444,31.8591667
398,"('-75.282905', '40.165393')",1,-75.282905,40.165393
399,"('-81.4777778', '38.1958333')",1,-81.4777778,38.1958333
400,"('-119.535096', '35.499425')",1,-119.535096,35.499425
401,"('-85.8280556', '41.5002778')",2,-85.8280556,41.5002778
402,"('-79.8111111', '42.0036111')",1,-79.8111111,42.0036111
403,"('-92.7797222', '38.6555556')",3,-92.7797222,38.6555556
404,"('-86.184076', '43.095526')",1,-86.184076,43.095526
405,"('-94.885', '30.0463889')",3,-94.885,30.0463889
406,"('-92.7902778', '44.3044444')",2,-92.7902778,44.3044444
407,"('-122.872125', '38.500181')",1,-122.872125,38.500181
408,"('-111.837384', '36.038508')",1,-111.837384,36.038508
409,"('-80.605', '28.4055556')",10,-80.605,28.4055556
410,"('-131.6461111', '55.3422222')",6,-131.6461111,55.3422222
411,"('-79.8983333', '40.1377778')",2,-79.8983333,40.1377778
412,"('-118.6005556', '34.0936111')",2,-118.6005556,34.0936111
413,"('-123.6919444', '38.9088889')",3,-123.6919444,38.9088889
414,"('-122.6380556', '45.4463889')",15,-122.6380556,45.4463889
415,"('-94.235', '40.7147222')",1,-94.235,40.7147222
416,"('-86.0341667', '34.6722222')",2,-86.0341667,34.6722222
417,"('-75.106839', '40.174276')",2,-75.106839,40.174276
418,"('-92.4380556', '39.4183333')",3,-92.4380556,39.4183333
419,"('-78.3861111', '33.9730556')",4,-78.3861111,33.9730556
420,"('-114.229949', '33.663914')",9,-114.229949,33.663914
421,"('-73.4155556', '40.7933333')",3,-73.4155556,40.7933333
422,"('-105.513608', '39.742488')",1,-105.513608,39.742488
423,"('-74.0758333', '40.9444444')",5,-74.0758333,40.9444444
424,"('-77.9641667', '39.4561111')",18,-77.9641667,39.4561111
425,"('-78.4922222', '42.9')",1,-78.4922222,42.9
426,"('-96.0772222', '46.2830556')",6,-96.0772222,46.2830556
